date,capability_id,movement,quality,expression,daily_score,n_tests,match_date,days_post_match
2023-08-14,agility_acceleration_dynamic,agility,acceleration,dynamic,0.358,1,2023-08-13,1
2023-08-14,agility_deceleration_dynamic,agility,deceleration,dynamic,0.8695,1,2023-08-13,1
2023-08-14,agility_deceleration_isometric,agility,deceleration,isometric,0.9525,1,2023-08-13,1
2023-08-14,jump_land_dynamic,jump,land,dynamic,0.69,1,2023-08-13,1
2023-08-14,jump_pre-load_dynamic,jump,pre-load,dynamic,0.57,1,2023-08-13,1
2023-08-14,jump_take off_dynamic,jump,take off,dynamic,0.7335,1,2023-08-13,1
2023-08-14,sprint_acceleration_dynamic,sprint,acceleration,dynamic,0.358,1,2023-08-13,1
2023-08-14,sprint_max velocity_dynamic,sprint,max velocity,dynamic,0.67,1,2023-08-13,1
2023-08-14,upper body_pull_dynamic,upper body,pull,dynamic,0.8695,1,2023-08-13,1
2023-08-14,upper body_push_dynamic,upper body,push,dynamic,0.358,1,2023-08-13,1
2023-08-15,agility_acceleration_dynamic,agility,acceleration,dynamic,0.3395,1,2023-08-13,2
2023-08-15,agility_deceleration_dynamic,agility,deceleration,dynamic,0.8695,1,2023-08-13,2
2023-08-15,agility_deceleration_isometric,agility,deceleration,isometric,0.9775,1,2023-08-13,2
2023-08-15,jump_land_dynamic,jump,land,dynamic,0.69,1,2023-08-13,2
2023-08-15,jump_pre-load_dynamic,jump,pre-load,dynamic,0.522,1,2023-08-13,2
2023-08-15,jump_take off_dynamic,jump,take off,dynamic,0.6905,1,2023-08-13,2
2023-08-15,sprint_acceleration_dynamic,sprint,acceleration,dynamic,0.3395,1,2023-08-13,2
2023-08-15,sprint_max velocity_dynamic,sprint,max velocity,dynamic,0.67,1,2023-08-13,2
2023-08-15,upper body_pull_dynamic,upper body,pull,dynamic,0.8695,1,2023-08-13,2
2023-08-15,upper body_push_dynamic,upper body,push,dynamic,0.3395,1,2023-08-13,2
2023-08-16,agility_acceleration_dynamic,agility,acceleration,dynamic,0.3395,1,2023-08-13,3
2023-08-16,agility_deceleration_dynamic,agility,deceleration,dynamic,0.8695,1,2023-08-13,3
2023-08-16,agility_deceleration_isometric,agility,deceleration,isometric,0.9775,1,2023-08-13,3
2023-08-16,jump_land_dynamic,jump,land,dynamic,0.69,1,2023-08-13,3
2023-08-16,jump_pre-load_dynamic,jump,pre-load,dynamic,0.522,1,2023-08-13,3
2023-08-16,jump_take off_dynamic,jump,take off,dynamic,0.6905,1,2023-08-13,3
2023-08-16,sprint_acceleration_dynamic,sprint,acceleration,dynamic,0.3395,1,2023-08-13,3
2023-08-16,sprint_max velocity_dynamic,sprint,max velocity,dynamic,0.67,1,2023-08-13,3
2023-08-16,upper body_pull_dynamic,upper body,pull,dynamic,0.8695,1,2023-08-13,3
